Pneumomediastinum	HP:0025421
Small platelets size	None
Increased RBC mass	None
Increased red blood cell mass	None
Prolonged Russell's viper venom time	None
Abnormal platelet dense granule ATP/ADP ratio	None
Methemoglobinemia	None
Decreased proportion of effector memory CD8-positive, alpha-beta T cells	None
Hemorrhage of the eye	None
Haemorrhage of the eye	None
Bleeding from the eye	None
Folate-unresponsive megaloblastic anemia	None
Bruise easily	None
Bruisability	None
Bruising susceptibility	None
Easy bruising	None
Easy bruisability	None
Abnormal number of dense granules	None
Abnormal proportion of central memory CD8-positive, alpha-beta T cells	None
Reduced factor XIII activity	None
Blood cancer	None
Leukemia	None
Hyphema	None
Acute lymphoblastic leukemia	None
Acute lymphoid leukemia	None
Acute lymphatic leukemia	None
Acute lymphocytic leukemia	None
Coffee grounds emesis	None
Coffee ground vomitus	None
Coffee grounds vomiting	None
Schistocytosis	None
Schistocytes	None
Erythrocytosis	None
Polyglobulia	None
Polycythemia	None
Abnormally shaped erythrocytes	None
Increased red blood cells	None
Abnormal proportion of CD8+ T cells	None
Abnormal proportion of CD8 T cells	None
Decreased proportion of marginal zone B cells	None
Vomitting blood	None
Hematemesis	None
Increased circulating myelocyte count	None
Absence of memory B cells	None
Increased proportion of CD19+CD27+IgD- cells	None
Increased proportion of class-switched memory B cells	None
Abnormal osteoclast count	None
Ecchymoses	None
Ecchymosis	None
Intestinal bleeding	None
Intestinal hemorrhage	None
Disseminated intravascular coagulation	None
Factor XI deficiency	None
Reduced factor XI activity	None
Low factor XI activity	None
Impaired ristocetin cofactor assay activity	None
Reduced proportion of naive CD8 T cells	None
Reduced factor VII activity	None
Factor VII deficiency	None
Decreased proportion of non-class-switched memory B cells	None
Abnormal proportion of naive CD4 T cells	None
Abnormal proportion of CD4+CD45RA+ cells	None
Hepatic granulomatosis	None
Microcytic anemia	None
Foveal hemorrhage	None
Foveal haemorrhage	None
Diffuse alveolar haemorrhage	None
Diffuse alveolar hemorrhage	None
Impaired oxidative burst	None
Negative nitroblue tetrazolium reduction test	None
Negative NBT reduction test	None
Abnormal morphology of erythroid progenitor cell	None
Chronic myelomonocytic leukemia	None
Protein S deficiency	None
Reduced protein S activity	None
Anemia corrected by uridylic acid and cytidylic acid	None
Pyrimidine-responsive megaloblastic anemia	None
Drug-induced agranulocytosis	None
Subdural haematoma	None
Subdural hemorrhage	None
Reduction of neutrophil motility	None
Kininogen deficiency	None
Williams factor deficiency	None
Reduced kininogen activity	None
Williams-Fitzgerald-Flaujeac factor deficiency	None
Fitzgerald factor deficiency	None
Absence of CD4+CD25+ T regulatory cells	None
Absence of CD4+CD25+ Tregs	None
Absence of CD4-positive, CD25-positive regulatory T cells	None
Abnormal proportion of naive B cells	None
Large platelets	None
Increased mean platelet volume	None
Increased circulating immature neutrophil count	None
Increased annexin V binding to platelet phosphatidylserine	None
Increased multinucleated megakaryocyte count	None
Heinz bodies	None
Abnormal Hb concentration	None
Abnormal hemoglobin concentration	None
Abnormal factor V activity	None
Abnormal coagulation factor V activity	None
Recurrent hemorrhagic stroke	None
Recurrent cerebral hemorrhage	None
Eosinophilia	None
High blood eosinophil count	None
Red cell aplasia	None
Pure red cell aplasia	None
Multiple myeloma	None
Kahler's disease	None
Plasmocytoma	None
Decreased RBC count	None
Decreased red blood cell count	None
Abnormal presence of ultra-large von Willebrand factor multimers	None
Linear retina heme	None
Flame-shaped retinal haemorrhage	None
Flame-shaped retinal hemorrhage	None
Feathered retinal heme	None
Portal vein thrombosis	None
Blood clot in portal vein	None
Microspherocytosis	None
Abnormal platelet aggregation	None
Increased hemoglobin A2	None
Increased HbA2 hemoglobin	None
Reduced level of platelet glycoprotein IIb/IIIa complex	None
Glanzmann thrombasthenia	None
Decreased platelet glycoprotein IIb-IIIa	None
Acute megakaryocytic leukemia	None
AMegL	None
Reduced plasminogen activator inhibitor 1 activity	None
Decreased level of thrombomodulin	None
BDCA-3	None
Congenital dyserythropoietic anemia	None
Congenital hypoplastic anemia	None
Impaired thrombin-induced platelet aggregation	None
Abnormal proportion of CD4+ effector memory cells	None
Giant neutrophil granules	None
Chronic lymphocytic leukemia	None
Chronic lymphatic leukemia	None
Factor XII deficiency	None
Hageman factor deficiency	None
Reduced factor XII activity	None
Abnormality monocyte morphology	None
Abnormal basophil count	None
Absence of alpha granules	None
Gray platelets	None
Grey platelets	None
Myelokathexis	None
Reduced proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	None
Abnormal factor VIII activity	None
Blood clot in vein	None
Venous thrombosis	None
Reduced alpha-2-antiplasmin activity	None
Abnormal umbilical stump bleeding	None
Reduced factor VIII activity	None
Factor VIII deficiency	None
Elevated coagulation factor V activity	None
Elevated factor V activity	None
Plasma factor V elevated	None
Macrocytic dyserythropoietic anemia	None
Monocytopenia	None
Low blood monocyte number	None
Abnormal macrophage morphology	None
Abnormality of macrophages	None
Abnormality of histiocytes	None
Macrocytic hemolytic disease	None
Elevated CD4-positive, CD25-positive regulatory T cell count	None
Neonatal hemolytic anemia	None
Congenital haemolytic anemia	None
Congenital hemolytic anemia	None
Abnormality of prothrombin	None
Extramedullary erythropoiesis	None
Extramedullary hematopoiesis	None
Muscle haemorrhage	None
Refractory macrocytic anemia	None
Increased MCV	None
Increased mean corpuscular volume	None
Erythrocyte macrocytosis	None
Impaired arachidonic acid-induced platelet aggregation	None
Cold-induced hemolysis	None
Sub-ILM hemorrhage	None
Sub-inner limiting membrane hemorrhage	None
Sub-inner limiting membrane haemorrhage	None
Sub-ILM haemorrhage	None
Abnormal eosinophil morphology	None
Abnormality of eosinophils	None
Microangiopathic hemolytic anemia	None
Abnormal platelet granule secretion	None
Joint haemorrhage	None
Joint hemorrhage	None
Hemarthrosis	None
Bleeding within a joint	None
Hemarthroses	None
Spontaneous joint hemorrhage	None
Defective cellular immunity	None
Abnormal T cell morphology	None
Abnormality of T cells	None
Abnormal T cells	None
Cellular immune defect	None
Decreased blood lymphocyte number	None
Lymphopenia	None
Low lymphocyte number	None
Lymphocytopenia	None
Absolute lymphocyte count decrease	None
Drug-sensitive hemolytic anemia	None
Excessive bleeding after a venipuncture	None
Dysplastic erythropoesis	None
Elevated proportion of CD4+CD25+ regulatory T cells	None
Persistence of hemoglobin F	None
Persistence of HbF	None
Increased hemoglobin F	None
Increased micromegakaryocyte count	None
Imbalanced Hb synthesis	None
Imbalanced hemoglobin synthesis	None
Spontaneous hematomas	None
Refractory anemia	None
Granulomatosis	None
Decreased proportion of naive B cells	None
Total absence von Willebrand factor multimers	None
Abnormal eosinophil count	None
Reduced HbA	None
Reduced hemoglobin A	None
Basophilia	None
Increased basophil count	None
Increased red cell sickling tendency	None
Increased sickling of erythrocytes	None
Increased sickling of red cells	None
Increase in T cell number	None
Increase in T cell count	None
Increased T cell count	None
Decreased von Willebrand factor	None
Reduced quantity of Von Willebrand factor	None
Thyroid-stimulating hormone receptor defect	None
Impaired sensitivity to thyroid stimulating hormone	None
TSHR defect	None
Abnormality of GnRH level	None
Abnormality of gonadotropin-releasing hormone level	None
Abnormality of the thyroid gland	None
Thyroid abnormality	None
Thyroid disease	None
Increased circulating cortisol level	None
Cushing syndrome	None
Increased cortisol production	None
Hypercortisolism	None
Goiter	None
Thyroid goiter	None
Enlarged thyroid gland in neck	None
Goitre	None
Lung carcinoid tumor	None
Pulmonary carcinoid tumor	None
Multiple pancreatic beta-cell adenomas	None
Abnormality of pineal morphology	None
Posterior pituitary hypoplasia	None
Neurohypophysis hypoplasia	None
Abnormality of the parathyroid physiology	None
Parathyroid issue	None
Parathyroid dysfunction	None
Hashimoto's thyroiditis	None
Chronic lymphocytic thyroiditis	None
Hashimoto thyroiditis	None
Positive perchlorate discharge test	None
Impaired growth-hormone response to insulin stimulation test	None
Vagal nerve tumors	None
Glomus vagale tumor	None
Vagal paraganglioma	None
Glomus vagale paraganglioma	None
Abnormal circulating thyrotropin concentration	None
Abnormal TSH level	None
Abnormal thyrotropin level	None
Abnormal thyroid-stimulating hormone level	None
Multinodular goiter	None
Thyroid carcinoma	None
Increased urinary 11-deoxytetrahydrocorticosterone level	None
Enlarged pituitary gland	None
Thyrotoxicosis with toxic single thyroid nodule	None
Delayed thelarche	None
Neoplasm of the endocrine system	None
Endocrine neoplasia	None
Abnormal circulating insulin level	None
Pituitary disease	None
Abnormality of the anterior pituitary	None
gestational diabetes	None
Maternal diabetes	None
maternal hyperglycemia	None
Neonatal insulin-dependent diabetes mellitus	None
Abnormality of the hypothalamus-pituitary axis	None
Euthyroid multinodular goiter	None
Abnormality of the thymus	None
Thymic hypoplasia	None
Secondary hyperparathyroidism	None
Abnormal circulating osteocalcin level	None
Abnormal insulin level	None
Abnormality of the neurohypophysis	None
Abnormality of the posterior pituitary	None
Parathyroid disease	None
Abnormality of the parathyroid gland	None
Abnormality of adrenal physiology	None
Ectopic anterior pituitary gland	None
Increased serum parathyroid hormone	None
Elevated circulating PTH level	None
Elevated circulating parathyroid hormone level	None
Elevated serum pth	None
Elevated serum parathyroid hormone	None
Elevated serum parathyroid hormone level	None
Light or infrequent menstrual periods	None
Oligomenorrhea	None
Pituitary resistance to thyroid hormone	None
Tympanic nerve tumor	None
Glomus tympanicum paraganglioma	None
Tympanic nerve tumors	None
Decreased pituitary glycoprotein hormone alpha subunit level	None
Decreased pituitary glycoprotein alpha subunit level	None
Decreased pituitary glycoprotein polypeptide alpha subunit level	None
Focal pancreatic islet hyperplasia	None
Pituitary hypothyroidism	None
Secondary hypothyroidism	None
Thyroid stimulating hormone deficiency	None
Thyrotropin deficiency	None
TSH deficient hypothyroidism	None
Low thyroid gland function due to abnormal pituitary gland	None
Hypogonadotrophic hypogonadism	None
Isolated hypogonadotropic hypogonadism	None
Hypogonadism, hypogonadotropic	None
Low gonadotropins (secondary hypogonadism)	None
Abnormal circulating inhibin level	None
Decreased circulating 18-hydroxycortisone level	None
Macronodular adrenal hyperplasia	None
Abnormality of the pineal gland	None
APUdoma	None
amine precursor uptake and decarboxylation tumours	None
Thyrotoxicosis with toxic multinodular goitre	None
Thyroid nodule	None
Thyroglossal cyst	None
Thyroglossal duct cyst	None
Abnormal absence of menstruation	None
Amenorrhea	None
Increased glucagon level	None
Impaired growth-hormone response to glucagon stimulation test	None
Chromaffin tumors	None
Pheochromocytoma	None
Increased circulating thyroxine level	None
Atrophic pituitary gland	None
Pituitary gland atrophy	None
Atrophic pituitary	None
Neoplasm of the pituitary gland	None
Abnormal hypothalamus physiology	None
Euthyroid goiter	None
Maturity-onset diabetes of the young	None
MODY	None
Maturity onset diabetes of the young	None
Pheochromocytoma, extraadrenal	None
Extraadrenal pheochromocytoma	None
Decreased serum estradiol	None
Abnormal response to insulin tolerance test	None
Ectopic thyroid gland	None
Abnormal thryoid location	None
Aberrant thyroid	None
Ectopic thyroid	None
Aberrant thyroid gland	None
Heteropic thyroid gland	None
Abnormal circulating thyroxine level	None
Central diabetes insipidus	None
Neurohypophyseal diabetes insipidus	None
Increased urinary 11-deoxycorticosterone level	None
Increased urinary 11-deoxycortisol level	None
Noncancerous tumor in pituitary gland	None
Pituitary adenoma	None
Thyroid follicular adenoma	None
Hypopituitarism	None
Insulinoma	None
Pancreatic insulinoma	None
Insulin-resistant diabetes	None
Insulin-resistant diabetes mellitus	None
Insulin resistant diabetes	None
Insulin resistant diabetes mellitus	None
Pubertal developmental failure in females	None
Adrenocortical abnormality	None
Abnormal response to corticotropin stimulation test	None
Abnormal response to adrenocorticotropic-hormone stimulation test	None
Abnormal response to ACTH stimulation test	None
Pheochromocytoma, adrenal	None
Adrenal pheochromocytoma	None
Pheochromocytomas, adrenal	None
Increased circulating renin level	None
Increased serum renin	None
Elevated blood renin level	None
Increased plasma renin	None
Elevated plasma renin	None
Hyperreninemia	None
Abnormal response to CRH stimulation test	None
Abnormal response to corticotropin releasing hormone stimulation test	None
Pulmonary paraglioma	None
Elevated insulin level	None
Hyperinsulinemia	None
Thymus hypoplasia	None
Hypoplasia of the thymus	None
Small thymus	None
Premature pubarche	None
Premature pubic hair growth	None
Increased urinary cortisol level	None
High urine cortisol level	None
Abnormal pituitary glycoprotein hormone alpha subunit level	None
Thyroid microfollicular adenoma	None
Paragangliomas	None
Paraganglioma	None
Carotid body tumors	None
Underactive thyroid	None
Hypothyroidism	None
Low T4	None
Precocious puberty with Sertoli cell tumor	None
Thyroid macrofollicular adenoma	None
Secretory adrenal adenoma	None
Secretory adrenocortical adenoma	None
Elevated circulating catecholamine level	None
Activating TSHR defect	None
Activating thyroid-stimulating hormone receptor defect	None
Abnormal circulating gastrin level	None
Abnormal serum DHEA	None
Abnormal serum androstenolone level	None
Abnormal serum dehydroepiandrosterone level	None
Increased plasma AMH	None
Increased antimullerian hormone level	None
Fasting hypoglycemia	None
Low blood sugar when fasting	None
Abnormal serum insulin-like growth factor 1 level	None
Abnormal serum estradiol	None
Adrenocorticotropic hormone excess	None
ACTH excess	None
Increased radioactive iodine uptake	None
Abnormal serum testosterone level	None
Abnormal testosterone level	None
Increased circulating luteinizing hormone level	None
Elevated luteinizing hormone	None
Elevated circulating luteinizing hormone level	None
Elevated LH level	None
Chemodectoma	None
Chemodectomas	None
Abnormal circulating free triiodotyronine concentration	None
Abnormal circulating free T3 concentration	None
Tertiary hypothyroidism	None
Hypothalamic hypothyroidism	None
Abnormal circulating 18-hydroxycorticosterone level	None
Pituitary gonadotropin deficiency	None
Gonadotropin deficiency	None
Early onset of puberty	None
Precocious puberty	None
Early puberty	None
Increased serum estriol	None
Abnormal plasma renin	None
Abnormal circulating renin	None
Carotid paraganglioma	None
Abnormal adrenal gland position	None
Ectopic adrenal gland	None
Elevated gonadotropins	None
Increased circulating gonadotropin level	None
Elevated serum gonadotropins	None
Gonadotropin excess	None
Abnormal glucagon level	None
Abnormal circulating aldosterone	None
Abnormal plasma aldosterone	None
Abnormality of circulating catecholamine level	None
Catecholamine levels abnormal	None
Anaplastic thyroid carcinoma	None
Delayed start of first period	None
Delayed menarche	None
Corticotropin deficiency	None
ACTH deficiency	None
Adrenocorticotropic hormone deficiency	None
Pituitary spindle cell oncocytoma	None
Pineal cyst	None
Pancreatic islet cell adenoma	None
Abnormality of the parathyroid morphology	None
Low blood aldosterone level	None
Decreased aldosterone	None
Hypoaldosteronism	None
Decreased circulating aldosterone level	None
Decreased aldosterone production	None
Decreased serum aldosterone	None
Mineralocorticoid insufficiency	None
Delayed adrenarche	None
Diabetes mellitus	None
Neoplasm of the adrenal gland	None
Adrenal neoplasia	None
Increased circulating osteocalcin level	None
Decreased circulating osteocalcin level	None
Decreased circulating luteinising hormone level	None
Decreased circulating luteinizing hormone level	None
Decreased adiponectin level	None
Insulin-dependent but ketosis-resistant diabetes	None
Adrenocortical carcinoma	None
Adrenal carcinoma	None
Adrenal gland carinoma	None
Abnormality of pineal physiology	None
Early onset of puberty in males	None
Precocious puberty in males	None
Male precocious puberty	None
Secondary growth hormone deficiency	None
Reduced radioactive iodine uptake	None
High TSH	None
Increased thyrotropin level	None
TSH excess	None
Thyroid-stimulating hormone excess	None
Elevated thyroid stimulating hormone	None
Elevated thyroid stimulating hormone levels	None
Increased thyroid-stimulating hormone	None
Increased thyroid-stimulating hormone level	None
Increased serum thyroid-stimulating hormone	None
Puberty and gonadal disorders	None
Pituicytoma	None
Neoplasm of the thymus	None
Corticotropin-secreting pituitary adenoma	None
ACTH-producing pituitary adenoma	None
Pituitary corticotropic cell adenoma	None
Abnormal prolactin level	None
High urinary gonadotropin level	None
Thyroid papillary adenoma	None
Thyroid adenoma	None
Hypermenorrhea	None
Abnormally heavy bleeding during menstruation	None
Menorrhagia	None
Thyroid hypoplasia	None
Hypoplastic thyroid	None
Abnormal thyroid hormone level	None
Hypothalamic luteinizing hormone-releasing hormone deficiency	None
Fasting hyperinsulinemia	None
High blood insulin levels while fasting	None
Decreased inhibin B level	None
Increased plasma ACTH	None
High blood corticotropin levels	None
Increased circulating ACTH level	None
Decreased circulating androgen level	None
Abnormal pineal melatonin secretion	None
Abnormality of the menstrual cycle	None
Menstrual abnormalities	None
Tertiary hyperparathyroidism	None
Abnormality of circulating cortisol level	None
Absent pituitary gland	None
Aplasia of the pituitary gland	None
Anterior pituitary agenesis	None
Decreased pineal volume	None
Abnormal shape of thyroid gland	None
Abnormality of thyroid morphology	None
Reduce response to GnRH stimulation test	None
Reduced response to gonadotropin-releasing hormone stimulation test	None
Abnormal T3/T4 ratio	None
Abnormal circulating follicle-stimulating hormone level	None
Hypoinsulinemia	None
Abnormal response to human chorionic gonadotrophin stimulation test	None
Abnormal response to hCG stimulation test	None
Abnormality of the adrenal glands	None
Adrenal abnormalities	None
Adrenal gland disease	None
Pituitary dwarfism	None
Mineralocorticoid excess	None
Increased aldosterone	None
Elevated plasma aldosterone	None
Hyperaldosteronism	None
Increased aldosterone production	None
Abnormal serum estrone	None
Increased circulating 18-hydroxycortisone level	None
Corticotropin-releasing hormone deficient adrenal insufficiency	None
CRH deficient adrenal insufficiency	None
Tertiary adrenal insufficiency	None
Thyroid C cell hyperplasia	None
Secondary hypercortisolism	None
ACTH-dependent hypercortisolemia	None
Hypogonadism, female	None
Female hypogonadism	None
Decreased glucagon level	None
Parathyroid adenoma	None
Parathyroid adenomas	None
Increased serum insulin-like growth factor 1	None
Elevated serum IGF1	None
Increased serum IGF1	None
Nephrogenic diabetes insipidus	None
Abnormal circulating hormone level	None
Abnormality of circulating hormone level	None
Abnormal estrogen level	None
Abnormal circulating estrogen level	None
Abnormal circulating oestrogen level	None
Abnormal somatotropin level	None
Abnormal growth hormone level	None
Type 2 diabetes	None
Noninsulin-dependent diabetes	None
Type II diabetes mellitus	None
Diabetes mellitus, noninsulin-dependent	None
Diabetes mellitus Type II	None
Noninsulin-dependent diabetes mellitus	None
Noninsulin dependent diabetes mellitus	None
Diabetes mellitus type 2	None
Type II diabetes	None
Non-insulin dependent diabetes	None
NIDDM	None
NIDDM diabetes mellitus	None
Early onset of sexual maturation	None
Neoplasm of the adenohypophysis	None
Neoplasm of the anterior pituitary	None
Neoplasm of the pars anterior	None
Ectopic parathyroid	None
Thymic hypoplasia or aplasia	None
Absent/small thymus	None
Absent/underdeveloped thymus	None
Aplasia/Hypoplasia of the thymus	None
Abnormal circulating corticosterone level	None
Abnormality of circulating corticosterone level	None
Islet of Langerhans hyperplasia	None
Islets of langerhans hypertrophy	None
Pancreatic islet-cell hypertrophy	None
Hypertrophic pancreatic islets	None
Hyperplastic islets of langerhans	None
Pancreatic islet-cell hyperplasia	None
Adrenal gland agenesis	None
Increased adiponectin level	None
Increased serum 1,25-dihydroxyvitamin D3	None
Increased serum calcitriol	None
Euthyroid hyperthyroxinemia	None
Asymptomatic hyperthyroxinemia	None
Beta-cell dysfunction	None
Pseudohypoparathyroidism	None
Increased serum estrone	None
Increased serum leptin	None
Elevated circulating leptin level	None
Inguinal hernia	None
Sagging uterus	None
Uterine prolapse	None
Increased volume of facial adipose tissue	None
Facial fat hypertrophy	None
Facial fat hyperplasia	None
Increased facial adipose tissue	None
Hyperplasia of facial adipose tissue	None
Increased amount of facial fat	None
Hypertrophy of facial adipose tissue	None
Increased amount of facial adipose tissue	None
Abnormality of facial fat	None
Malformation of facial adipose tissue	None
Deformity of facial adipose tissue	None
Abnormality of facial adipose tissue	None
Decreased amount of facial fat	None
Decreased amount of facial adipose tissue	None
Loss of facial adipose tissue	None
Decreased volume of facial adipose tissue	None
Loss of facial subcutaneous adipose tissue	None
Loss of subcutaneous adipose tissue from face	None
Loss of facial fat	None
Increased fat around the neck	None
Increased adipose tissue around the neck	None
Corneal scarring	None
Enamel abnormalities	None
Abnormality of dental enamel	None
Enamel abnormality	None
Abnormal tooth enamel	None
Malformation of dental enamel	None
Defective tooth enamel	None
Malformation of tooth enamel	None
Dystrophic tooth enamel	None
Grayish enamel	None
Gray colored tooth enamel	None
Gray tooth shade	None
Greyish enamel	None
Teeth with thin dentin and large pulp chambers	None
Teeth with dentinal dysplasia	None
Shell teeth	None
Teeth with type iii dentinogenesis imperfecta	None
Dentinogenesis imperfecta	None
Amelogenesis imperfecta	None
Diaphragmatic hernia	None
Congenital diaphragmatic hernia	None
Chondrocalcinosis	None
Calcium deposits in joints	None
Atypical scarring	None
Atypical scarring of skin	None
Abnormality of subcutaneous fat tissue	None
Abnormality of fatty tissue below the skin	None
Lipomas	None
Lipomatosis	None
Multiple lipomas	None
Multiple fatty lumps	None
Subcutaneous lipoma	None
Cigarette-paper scars	None
Cigarette paper scarring	None
'cigarette paper scarring'	None
Thin, atrophic scars	None
Sunken or indented skin due to damage	None
Atrophic scars	None
Camptodactyly of 2nd-5th fingers	None
Interphalangeal joint flexion contractures	None
Interphalangeal joint contracture of finger	None
Wrist flexion deformity	None
Wrist contracture	None
Wrist flexion contracture	None
Flexion contracture	None
Flexion contractures	None
Contractures	None
Flexion contractures of joints	None
Joint contractures	None
Flexed joint that cannot be straightened	None
Joint contracture	None
Contracture	None
Umbilical hernia	None
Umbilical hernias	None
Omphalocele	None
Omphalocoele	None
Achilles tendon contractures	None
Tight achilles tendon	None
Achilles tendon contracture	None
Contractures of the Achilles tendon	None
Shortening of the achilles tendon	None
Camptodactyly of feet	None
Camptodactyly of toe	None
Hiatus hernia	None
Stomach hernia	None
Hiatal hernia	None
congenital contractures	None
Congenital joint contractures	None
Congenital contracture	None
Arthrogryposis	None
Arthrogryposis, congenital	None
Arthrogryposis multiplex	None
Arthrogryposis multiplex congenita	None
Multiple congenital contractures	None
Multiple joint contractures	None
Ventral hernia	None
Fixed flexion at the elbow joint	None
Contractures of the elbows	None
Contractures of elbows	None
Elbow contracture	None
Elbow contractures	None
Contracture of elbow joint	None
Elbow flexion contracture	None
Elbow flexion contractures	None
Elbow flexion deformity	None
Shoulder flexion contracture	None
Hamstring contractures	None
Limb joint contracture	None
Limb contractures	None
Flexion contractures of hips	None
Hip contractures	None
Hip flexion contractures	None
Flexion contracture of hips	None
Hip contracture	None
Abnormality of connective tissue	None
Loss of fat tissue below the skin in limbs	None
Loss of subcutaneous adipose tissue in limbs	None
Loss of subcutaneous adipose tissue from extremities	None
Minimal subcutaneous fat	None
Minimal fat below the skin	None
Reduced subcutaneous adipose tissue	None
Reduced subcutaneous fat	None
Decreased subcutaneous adipose tissue	None
Scanty adipose tissue	None
Reduced fat tissue below the skin	None
Decreased subcutaneous fat	None
Reduced intrathoracic adipose tissue	None
Herniated abdominal wall	None
Hernia of the abdominal wall	None
Hair loss on scalp from scarring condition	None
Cicatricial alopecia	None
Scarring alopecia of scalp	None
Inability to touch chin to chest	None
Contracture of post-cervical muscles	None
Decreased cervical spine flexion due to contractures of posterior cervical muscles	None
Incisional hernia	None
Recurrent abdominal hernia	None
Polyarticular chondrocalcinosis	None
Lack of facial subcutaneous fat	None
Lack of facial fat below the skin	None
Arthrogryposis-like hand anomaly	None
Bilateral camptodactyly	None
Dupuytren contracture	None
Distal arthrogryposis	None
Congenital foot contractures	None
Contractures, lower limbs	None
Contractures of the joints of the lower limbs	None
Contractures of the large joints	None
Flexion contracture of toe	None
Toe contractures	None
Contractures involving the toes	None
Contractures of the toes	None
Congenital foot contraction deformities	None
Joint contractures, progressive	None
Progressive flexion contractures	None
Congenital finger contractures	None
Congenital finger flexion contractures	None
Loss of fat around neck	None
Loss of adipose tissue around the neck	None
Decreased adipose tissue around neck	None
Restricted neck mobility due to contractures	None
Neck flexion contracture	None
Restricted neck movement due to contractures	None
Generalized hypoplasia of tooth enamel	None
Generalized dysplasia of tooth enamel	None
Generalized hypoplasia of dental enamel	None
Decreased enamel mineralisation	None
Mottled tooth enamel	None
Hypomineralization of enamel	None
Fluorosis of tooth enamel	None
Increased porosity of tooth enamel	None
White spot lesions of tooth enamel	None
Poorly mineralized tooth enamel	None
Thin dental enamel	None
Dysplasia of tooth enamel	None
Thin tooth enamel	None
Enamel dysplasia	None
Dental enamel hypoplasia	None
Defective enamel matrix	None
Hypoplasia of tooth enamel	None
Underdeveloped teeth enamel	None
Enamel hypoplasia	None
Hypoplasia of dental enamel	None
Adductor longus contractures	None
Inability to straighten knee	None
Knee contracture	None
Flexion contractures at both knees	None
Flexion contractures of knees	None
Flexion contracture of knees	None
Contractures of the knees	None
Knee flexion contractures	None
Knee flexion deformity	None
Knee flexion contracture	None
Contractures of knees	None
Flexion deformity of the knee	None
Knee contractures	None
Contractures of the ankles	None
Ankle flexion contracture	None
Ankle contracture	None
Ankle contractures	None
Cutaneous angiolipomas	None
Midline CNS lipomas	None
Midline central nervous system lipomas	None
Lipoma of corpus callosum	None
Absent fat below the skin	None
Lack of fatty tissue below the skin	None
Absence of subcutaneous fat	None
General absence of subcutaneous fat	None
Yellow subcutaneous tissue covered by thin, scaly skin	None
Frontal cutaneous lipoma	None
Abnormal subcutaneous fat tissue distribution	None
Abnormal fat tissue distribution below the skin	None
Painful subcutaneous lipomas	None
Painful noncancerous fat tissue tumor under the skin	None
Chorioretinal scar	None
Plantar flexion contractures	None
Contractures of the foot joints	None
Contractures involving the joints of the feet	None
Adipose tissue loss	None
Loss of fat tissue	None
Increased IM fat	None
Increased intramuscular fat	None
Increased intraabdominal fat	None
Loss of truncal subcutaneous adipose tissue	None
Loss of truncal adipose tissue	None
Loss of subcutaneous truncal adipose tissue	None
Loss of fat tissue in trunk	None
Increased fat below the skin in trunk	None
Increased subcutaneous truncal adipose tissue	None
Loss of fat tissue below the skin in gluts	None
Loss of gluteal subcutaneous adipose tissue	None
Facial fat wasting	None
Progressive loss of facial fat	None
Progressive loss of facial subcutaneous adipose tissue	None
Facial fat atrophy	None
Progressive loss of facial adipose tissue	None
Progressive loss of subcutaneous adipose tissue from face	None
Loss of subcutaneous adipose tissue from face, progressive	None
Atrophy of facial adipose tissue	None
Increased connective tissue	None
Loss of fat tissue below the skin from upper limbs	None
Loss of subcutaneous adipose tissue from upper limbs	None
Congenital generalized lipodystrophy	None
Generalized lipodystrophy	None
Lipodystrophy, generalized	None
Abnormality of fatty tissue	None
Abnormal adipose tissue morphology	None
Abnormality of fat tissue	None
Abnormality of adipose tissue	None
Lipodystrophy	None
Inability to make and keep healthy fat tissue	None
Increased adipose tissue	None
Increased fat tissue	None
Fifth finger camptodactyly	None
Joint contracture of the 5th finger	None
Contracture of the distal interphalangeal joint of the 5th finger	None
5th finger camptodactyly	None
Contracture of the proximal interphalangeal joint of the 5th finger	None
Contracture of the metacarpophalangeal joint of the 5th finger	None
Joint contracture of the 4th finger	None
Joint contractures of the fourth finger	None
Contracture of the distal interphalangeal joint of the 4th finger	None
Camptodactyly of the ring finger	None
Camptodactyly of the 4th finger	None
Contracture of the proximal interphalangeal joint of the 4th finger	None
4th finger camptodactyly	None
Contracture of the metacarpophalangeal joint of the 4th finger	None
Joint contracture of the 3rd finger	None
Camptodactyly of middle finger	None
Contracture of the outermost hinge joint of the 3rd finger	None
Contracture of the distal interphalangeal joint of the 3rd finger	None
Contracture of the metacarpophalangeal joint of the 3rd finger	None
Camptodactyly of the third finger	None
Contracture of the proximal interphalangeal joint of the 3rd finger	None
Camptodactyly of the 3rd finger	None
Contractures of the hands	None
Joint contracture of the hand	None
Contractures involving the hands	None
Joint contractures of the 2nd finger	None
Flexion contracture of the 2nd finger	None
Contracture of the distal interphalangeal joint of the 2nd finger	None
Contracture of the metacarpophalangeal joint of the 2nd finger	None
Camptodactyly of 2nd finger	None
Contracture of the proximal interphalangeal joint of the 2nd finger	None
Camptodactyly of index finger	None
Camptodactyly of second finger	None
Joint contractures of the thumb	None
Flexion contracture of thumb	None
Contracture of thumb	None
Flexion deformities of thumbs	None
Contractures of the carpometacarpal joint of the thumb	None
Contractures of the metacarpophalangeal joint of the thumb	None
Interphalangeal extension contractures of thumbs	None
Contractures of the interphalangeal joint of the thumb	None
Contracture of the distal interphalangeal joint of the fingers	None
Shagreen patch	None
