Abnormality of the breast	HP:0000769
Elevated urinary N,N-dimethylglycine level	None
Abnormal IgE level	None
Generalized distal tubular acidosis	None
Increased cotinine level	None
Increased activity of mitochondrial respiratory chain	None
Reduced 4-Hydroxyphenylpyruvate dioxygenase activity	None
Reducted HPPD activity	None
Acanthocytosis	None
Red cell acanthocytosis	None
Acanthocytes	None
Erythrocytosis	None
Polyglobulia	None
Polycythemia	None
Abnormally shaped erythrocytes	None
Increased red blood cells	None
Prolonged bleeding after minor trauma	None
Excessive bleeding after minor trauma	None
Persistent bleeding after trauma	None
Frequent bleeding with trauma	None
Left shift	None
Increased circulating band form neutrophils	None
Increased circulating band cell count	None
Vitreous hemorrhage	None
Vitreous haemorrhage	None
Hypermenorrhea	None
Abnormally heavy bleeding during menstruation	None
Menorrhagia	None
Myeloid leukemia	None
Prolonged partial thromboplastin time	None
Prolonged activated partial thromboplastin time	None
Delayed thromboplastin generation	None
Abnormal partial thromboplastin time	None
Prolonged PTT	None
Partial thromboplastin time prolonged	None
Impaired thrombin-induced platelet aggregation	None
Abnormal granulocytopoietic cell morphology	None
Abnormality of cells of the granulocytic lineage	None
Myeloid/lymphoid leukemia	None
Biphenotypic acute leukaemia	None
Acute biphenotypic leukemia	None
Cephalohaematoma	None
Cephalohematoma	None
Abnormal surface-connected open canalicular system	None
Abnormal proportion of CD4+ effector memory cells	None
Factor XIII subunit A deficiency	None
Reduced factor XIII, subunit A	None
Coagulopathy	None
Abnormality of the coagulation cascade	None
Decreased proportion of CD4+CD29+ cells	None
Decreased proportion of memory T cells	None
Reduced proportion of CD4+ central memory cells	None
Prolonged euglobulin clot lysis time	None
erythrocyte stomatocytes	None
Stomatocytosis	None
Red cell stomatocytosis	None
Cutaneous mastocytosis	None
Refractory macrocytic anemia	None
Large vacuolated foam cells on bone marrow biopsy	None
Bone-marrow foam cells	None
Large vacuolated foam cells ('NP cells') on bone marrow biopsy	None
Bone marrow foam cells	None
Granulocytic hyperplasia	None
Oval macrocytosis	None
Abnormal platelet function	None
Decreased level of tissue plasminogen activator	None
Decreased level of tPA	None
Recurrent phlebitis	None
Recurrent thrombosis	None
Recurrent thrombophlebitis	None
Lymphocytosis	None
High lymphocyte count	None
Hemorrhage of the eye	None
Haemorrhage of the eye	None
Bleeding from the eye	None
Monoclonal immunoglobulin M proteinemia	None
Waldenstrom macroglobulinemia	None
RBC keratocytosis	None
Red blood cell keratocytosis	None
Distorted red blood cells resembling keratocytes	None
Abnormal proportion of naive CD8 T cells	None
Flat purpura	None
Macular purpura	None
Impaired von Willibrand factor collagen binding activity	None
Increased red cell osmotic resistance	None
Abnormal proportion of memory T cells	None
Abnormal proportion of CD4+CD29+ cells	None
Transient myeloproliferative disorder	None
Transient leukemia of Down syndrome	None
TMD	None
Transient myeloproliferative syndrome	None
Acute promyelocytic leukemia	None
Increased proportion of HLA DR+ T cells	None
Folate-unresponsive megaloblastic anemia	None
Abnormal proportion of marginal zone B cells	None
Impaired ristocetin-induced platelet aggregation	None
Abnormal dense tubular system	None
Increased neutrophil nuclear projections	None
Abnormal alpha granule content	None
Giant platelets	None
Muscle haemorrhage	None
Impaired epinephrine-induced platelet aggregation	None
Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology	None
Impaired convulxin-induced platelet aggregation	None
Abnormal mean corpuscular haemoglobin	None
Abnormal mean corpuscular Hb concentration	None
Abnormal mean corpuscular hemoglobin concentration	None
Abnormal MCHC	None
Abnormal MCH	None
Protein S deficiency	None
Reduced protein S activity	None
Increased proportion of CD4+CD29+ cells	None
Increased proportion of memory T cells	None
Preterm intraventricular hemorrhage	None
Abnormality of natural killer cell count	None
Abnormal NK cell count	None
Abnormal number of natural killer cells	None
Abnormal natural killer cell count	None
Hepatic vein thrombosis	None
Blood clot in liver vein	None
Hepatic venous thrombosis	None
Rouleaux formation	None
Increased rouleaux formation	None
Abnormal leukocyte count	None
Abnormal white blood cell count	None
Abnormality of the extrinsic pathway	None
Neutrophilia in absence of infection	None
Blood clot in splanchnic vein	None
Splanchnic vein thrombosis	None
Abnormal platelet granule secretion	None
Blood cancer	None
Leukemia	None
Reduced proportion of CD4+CD25+ regulatory T cells	None
Abnormal plasmablast proportion	None
Dysplastic erythropoesis	None
Acute megakaryocytic leukemia	None
AMegL	None
Normocytic hypoplastic anemia	None
Defective cellular immunity	None
Abnormal T cell morphology	None
Abnormality of T cells	None
Abnormal T cells	None
Cellular immune defect	None
Abnormal number of granulocyte precursors	None
Spontaneous hemolytic crises	None
Pelger-Huet anomaly	None
Hyposegmentation of neutrophil nuclei in peripheral blood	None
Hyposegmentation of neutrophil nuclei	None
Decreased platelet glycoprotein Ib-IX-V	None
Hypochromic microcytic anemia	None
Hypochromic, microcytic anemia	None
Increased proportion of exhausted T cells	None
Abnormal proportion of CD8+ T cells	None
Abnormal proportion of CD8 T cells	None
Haemolytic anaemia	None
Hemolytic anemia	None
Increased hemolysis	None
Increased proportion of central memory CD4-positive, alpha-beta T cells	None
Decreased platelet alpha-2A-adrenergic receptor	None
Blood spots	None
Purpura	None
Red or purple spots on the skin	None
Abnormal megakaryocyte morphology	None
Abnormality of cells of the megakaryocyte lineage	None
Hyperfibrinolysis	None
Abnormal neutrophil count	None
Abnormal neutrophil cell number	None
Abnormal proportion of double-negative alpha-beta regulatory T cell	None
Abnormal double-negative alpha-beta regulatory T cell distribution	None
Abnormal CD4-negative, CD8-negative, alpha-beta regulatory T cell distribution	None
Abnormal DN Treg distribution	None
Abnormal Double negative Treg distribution	None
Megaloblastic erythroid hyperplasia	None
Bone marrow biopsy shows megaloblastic erythroid hyperplasia	None
Internal hemorrhage	None
Internal bleeding	None
Vomitting blood	None
Hematemesis	None
Absence of Lutheran antigen on erythrocytes	None
Infection associated neutropenia	None
Hepatic granulomatosis	None
Abnormality of neutrophils	None
Abnormality of polymorphonuclear neutrophils	None
Absent B cells	None
Severe B lymphocytopenia	None
Absence of B cells	None
High blood monocyte number	None
Monocytosis	None
Abnormal number of dense granules	None
Elevated CD4-positive, CD25-positive regulatory T cell count	None
Spherocytosis	None
Increased red cell fragility	None
Increased erythrocyte osmotic fragility	None
Increased red cell osmotic fragility	None
Refractory anemia with ringed sideroblasts	None
Myelodysplasia with sideroblastosis	None
T-cell acute lymphoblastic leukemias	None
Hyphema	None
Impaired collagen-related peptide-induced platelet aggregation	None
Submacular hemorrhage	None
Sub-macular hemorrhage	None
Submacular haemorrhage	None
Megaloblastic anemia	None
Abnormality monocyte morphology	None
Hepatic mastocytosis	None
Impaired platelet adhesion	None
Impaired thrombocytes adhesion	None
Reduced plasminogen activator inhibitor 1 activity	None
CD8+ T-cell lymphopenia	None
Decreased proportion of CD8-positive T cells	None
Decreased proportion of CD8+ T cells	None
Absence of mature B cells	None
Abnormal proportion of central memory CD8-positive, alpha-beta T cells	None
Impaired oxidative burst	None
Negative nitroblue tetrazolium reduction test	None
Negative NBT reduction test	None
Hypersideremic anemia	None
Sideroblastic anemia	None
Impaired neutrophil bactericidal activity	None
Antenatal intracerebral hemorrhage	None
Pulmonary hemorrhage	None
Intrapulmonary hemorrhage	None
Aplastic anemia	None
Drug-sensitive hemolytic anemia	None
Abnormal basophil count	None
Abnormality of fibrinolysis	None
Abnormality of the fibrinolytic system	None
Reduced hematocrit	None
Reduced Hct	None
Low hematocrit	None
Microangiopathic hemolytic anemia	None
Neonatal hemolytic anemia	None
Congenital haemolytic anemia	None
Congenital hemolytic anemia	None
Reduced erythrocyte 2,3-diphosphoglycerate concentration	None
Reduced prothrombin antigen	None
Plasmacytosis	None
Increased proportion of memory B cells	None
Decreased basophil count	None
Abnormal alpha granules	None
Blood clot in a deep vein	None
Multiple deep venous thrombosis	None
Deep venous thrombosis	None
Deep vein thrombosis	None
Prolonged bleeding after dental extraction	None
Cerebral granulomatosis	None
Reduced factor VII activity	None
Factor VII deficiency	None
Refractory sideroblastic anemia	None
Abnormal proportion of CD4+ T cells	None
Abnormal proportion of CD4 T cells	None
Poikilocytosis	None
Abnormal Hb	None
Abnormal hemoglobin	None
Anemia of inadequate production	None
Dyserythropoietic anemia	None
Ineffective erythropoiesis	None
Defective erythropoiesis	None
Anemia, dyserythropoietic	None
Decreased von Willebrand factor	None
Reduced quantity of Von Willebrand factor	None
Megakaryocytopenia	None
Hematological neoplasm	None
Blood tumor	None
Impaired annexin V binding to platelet phosphatidylserine	None
Kininogen deficiency	None
Williams factor deficiency	None
Reduced kininogen activity	None
Williams-Fitzgerald-Flaujeac factor deficiency	None
Fitzgerald factor deficiency	None
Myelodysplasia	None
Myelodysplastic syndrome	None
Hypoplastic myelodysplasia	None
Juvenile myelomonocytic leukemia	None
Bone marrow hypercellularity	None
Blood group antigen abnormality	None
Sub-ILM hemorrhage	None
Sub-inner limiting membrane hemorrhage	None
Sub-inner limiting membrane haemorrhage	None
Sub-ILM haemorrhage	None
Thrombocytopenia	None
Low platelet count	None
Acute disseminated intravascular coagulation	None
Coffee grounds emesis	None
Coffee ground vomitus	None
Coffee grounds vomiting	None
Prolonged bleeding following procedure	None
Abnormal Hct	None
Abnormal hematocrit	None
Decreased osteoclast count	None
Abnormal platelet count	None
Neonatal alloimmune thrombocytopenia	None
Abnormal onset of bleeding	None
Absent neutrophil lactoferrin	None
Decreased proportion of CD8-positive, alpha-beta memory T cells	None
B-cell lymphoma	None
B cell lymphoma	None
Low white blood cell count	None
Decreased blood leukocyte number	None
Leukopenia	None
Hemophagocytosis	None
Small platelets	None
Decreased mean platelet volume	None
Small platelet size	None
Small platelets size	None
Acute myeloblastic leukemia	None
Acute myelogenous leukemia	None
Acute myelocytic leukemia	None
Acute myeloid leukemia	None
AML	None
Decreased eosinophil count	None
Impaired ristocetin cofactor assay activity	None
CD4+ T-cell lymphopenia	None
Decreased proportion of CD4-positive T cells	None
Abnormality of CD4+ T cells	None
CD4 T cell lymphopenia	None
Abnormal proportion of central memory CD4-positive, alpha-beta T cells	None
Autoimmune neutropenia	None
Neutropenia in presence of anti-neutropil antibodies	None
Hypochromia	None
Agranulocytosis	None
Histiocytosis	None
Abnormal plasma cell count	None
Microcytic anemia	None
Abnormal proportion of CD4-positive, alpha-beta memory T cells	None
Abnormality of prothrombin	None
Red cell aplasia	None
Pure red cell aplasia	None
Abnormal dense granules	None
Abnormality of circulating fibrinogen	None
Reduced factor IX activity	None
Low factor IX activity	None
Extramedullary erythropoiesis	None
Extramedullary hematopoiesis	None
Idiopathic thrombocytopenic purpura	None
Autoimmune thrombocytopenia	None
Immune thrombocytopenia	None
Idiopathic thrombocytopenia	None
Low fibrinogen level	None
Hypofibrinogenemia	None
Low fibrinogen activity	None
Reduced factor XIII, subunit B	None
Factor XIII subunit B deficiency	None
Platelet anisocytosis	None
Decreased proportion of immature B cells	None
Decreased proportion of CD19+/CD21low B cells	None
Microspherocytosis	None
Bone marrow hypocellularity	None
Bone marrow failure	None
Bone marrow hypoplasia	None
Hypoplastic bone marrow	None
Decrease in T cell number	None
T lymphocytopenia	None
Decreased numbers of circulating T cells	None
Reduced number of T cells	None
Decrease in T cell count	None
Low T cell count	None
Imbalanced Hb synthesis	None
Imbalanced hemoglobin synthesis	None
Increased circulating myelocyte count	None
Ecchymoses	None
Ecchymosis	None
Schistocytosis	None
Schistocytes	None
Decreased proportion of naive B cells	None
Single lineage myelodysplasia	None
Myelofibrosis	None
Subretinal heme	None
Subretinal hemorrhage	None
Subretinal haemorrhage	None
Abnormality of cells of the erythroid lineage	None
Abnormal erythroid lineage cell morphology	None
Blood clot in vein	None
Venous thrombosis	None
Methemoglobinemia	None
Corticotropin-secreting pituitary adenoma	None
ACTH-producing pituitary adenoma	None
Pituitary corticotropic cell adenoma	None
Abnormal response to human chorionic gonadotrophin stimulation test	None
Abnormal response to hCG stimulation test	None
Clinically silent pituitary adenoma	None
Non-functional pituitary adenoma	None
Silent pituitary adenoma	None
Pituitary null cell adenoma	None
Hormonally silent pituitary adenoma	None
Elevated circulating catecholamine level	None
Abnormality of pineal physiology	None
Parathyroid hyperplasia	None
Enlarged parathyroid glands	None
Corticotropin deficiency	None
ACTH deficiency	None
Adrenocorticotropic hormone deficiency	None
Hyperpituitarism	None
Increased serum estradiol	None
Increased estradiol level	None
Increased serum oestradiol	None
Neoplasm of the adrenal gland	None
Adrenal neoplasia	None
Decreased circulating 18-hydroxycortisone level	None
Carcinoid	None
Carcinoid tumor	None
Carcinoid tumors	None
Pseudohypoaldosteronism	None
Growth hormone deficiency	None
Somatotropin deficiency	None
Glucocortocoid-insensitive primary hyperaldosteronism	None
Familial primary hyperaldosteronism type 2	None
Increased urinary 11-deoxycortisol level	None
Decreased plasma TSH	None
Decreased thyrotropin level	None
Decreased thyroid-stimulating hormone level	None
Pituitary carcinoma	None
Abnormal pineal volume	None
Tertiary hyperparathyroidism	None
Thyrotoxicosis with toxic single thyroid nodule	None
Abnormality of GnRH level	None
Abnormality of gonadotropin-releasing hormone level	None
Abnormal response to insulin tolerance test	None
Parathyroid dysgenesis	None
Abnormal circulating aldosterone	None
Abnormal plasma aldosterone	None
Adrenocorticotropic hormone excess	None
ACTH excess	None
Adrenocortical adenomas	None
Adrenocortical adenoma	None
Abnormal response to glucagon stimulation test	None
Elevated gonadotropins	None
Increased circulating gonadotropin level	None
Elevated serum gonadotropins	None
Gonadotropin excess	None
Abnormal adrenal gland position	None
Ectopic adrenal gland	None
Abnormal endocrine physiology	None
Adrenal gland agenesis	None
Acromegalic growth	None
Growth hormone excess	None
Acral hypertrophy	None
Somatotropin excess	None
Acromegaly	None
Thyroiditis	None
Thyroid gland inflammation	None
Decreased serum estradiol	None
Vagal nerve tumors	None
Glomus vagale tumor	None
Vagal paraganglioma	None
Glomus vagale paraganglioma	None
Thymic hormone decreased	None
Decreased thymic hormone	None
Abnormal circulating gonadotropin level	None
Macronodular adrenal hyperplasia	None
Primary hypothyroidism	None
Impaired growth-hormone response to glucagon stimulation test	None
Parathyroid neoplasia	None
Neoplasm of the parathyroid gland	None
Thyroid nodule	None
Parathyroid hypoplasia	None
Underdeveloped parathyroid glands	None
Small parathyroid glands	None
Abnormality of circulating catecholamine level	None
Catecholamine levels abnormal	None
Decreased circulating androgen level	None
Follicular thyroid carcinoma	None
Pituicytoma	None
Thyrotoxicosis with diffuse goiter	None
Thyrotoxicosis with diffuse goitre	None
Noncancerous tumor in pituitary gland	None
Pituitary adenoma	None
Adrenogenital syndrome	None
ACTH deficient adrenal insufficiency	None
Adrenocorticotropin deficient adrenal insufficiency	None
Insulin-resistant diabetes	None
Insulin-resistant diabetes mellitus	None
Insulin resistant diabetes	None
Insulin resistant diabetes mellitus	None
Abnormal luteinizing hormone level	None
Increased circulating lutropin	None
Abnormal circulating luteinizing hormone level	None
Abnormality of circulating cortisol level	None
Polymenorrhea	None
Pseudohypoparathyroidism	None
Reduced circulating leptin level	None
Decreased serum leptin	None
Pheochromocytoma, adrenal	None
Adrenal pheochromocytoma	None
Pheochromocytomas, adrenal	None
Thymic hypoplasia or aplasia	None
Absent/small thymus	None
Absent/underdeveloped thymus	None
Aplasia/Hypoplasia of the thymus	None
Abnormal thyroid hormone level	None
Reduced radioactive iodine uptake	None
Abnormal serum testosterone level	None
Abnormal testosterone level	None
Hypogonadotrophic hypogonadism	None
Isolated hypogonadotropic hypogonadism	None
Hypogonadism, hypogonadotropic	None
Low gonadotropins (secondary hypogonadism)	None
Decreased circulating ACTH level	None
Parathyroid agenesis	None
Parathyroid aplasia	None
Parathyroid absence	None
Cortical adrenal neoplasia	None
Neoplasm of the adrenal cortex	None
Abnormal circulating follicle-stimulating hormone level	None
Corticotropin-releasing hormone deficient adrenal insufficiency	None
CRH deficient adrenal insufficiency	None
Tertiary adrenal insufficiency	None
Abnormality of circulating pregnenolone level	None
Abnormal serum insulin-like growth factor 1 level	None
Abnormal circulating osteocalcin level	None
Early onset of puberty	None
Precocious puberty	None
Early puberty	None
Low blood aldosterone level	None
Decreased aldosterone	None
Hypoaldosteronism	None
Decreased circulating aldosterone level	None
Decreased aldosterone production	None
Decreased serum aldosterone	None
Mineralocorticoid insufficiency	None
Decreased circulating dehydroepiandrosterone level	None
Abnormality of the adrenal glands	None
Adrenal abnormalities	None
Adrenal gland disease	None
Athyroidal hypothyroidism	None
Thyroid agenesis	None
Increased testosterone	None
High serum testosterone levels	None
High serum testosterone level	None
Increased serum testosterone levels	None
Increased serum testosterone level	None
Abnormal adiponectin level	None
Absent pituitary gland	None
Aplasia of the pituitary gland	None
Anterior pituitary agenesis	None
Multiple pancreatic beta-cell adenomas	None
Primary hyperaldosteronism	None
Abnormality of circulating glucocorticoid level	None
High urinary gonadotropin level	None
Islet of Langerhans hyperplasia	None
Islets of langerhans hypertrophy	None
Pancreatic islet-cell hypertrophy	None
Hypertrophic pancreatic islets	None
Hyperplastic islets of langerhans	None
Pancreatic islet-cell hyperplasia	None
Elevated circulating 17-hydroxyprogesterone	None
Elevated circulating 17-OHP	None
Thyroid atypical adenoma	None
Abnormal endocrine morphology	None
Central hypothyroidism	None
Thyroglossal cyst	None
Thyroglossal duct cyst	None
Pancreatic endocrine tumor	None
Adrenal insufficiency	None
Hypoadrenalism	None
Adrenal overactivity	None
Abnormal urine hormone level	None
Abnormality of urine hormone level	None
Prolactinoma	None
Primary gonadal insufficiency	None
Thyroid lymphangiectasis	None
Thyroid lymphangiectasia	None
Euthyroid goiter	None
Thyroid hypoplasia	None
Hypoplastic thyroid	None
Hypogonadism, female	None
Female hypogonadism	None
Abnormality of thyroid physiology	None
Abnormal thyroid function	None
Abnormal response to CRH stimulation test	None
Abnormal response to corticotropin releasing hormone stimulation test	None
Hypopituitarism	None
Impaired sensitivity to thyroid hormone	None
Resistance to thyroid hormone	None
Elevated serum levels of free thyroid hormone with nonsuppressed TSH	None
Thyroid hormone receptor defect	None
Thyroid hormone resistance	None
End-organ unresponsiveness to thyroid hormone	None
Nephrogenic diabetes insipidus	None
Hyperinsulinemia hypoglycemia	None
Hyperinsulinaemic hypoglycaemia	None
Hyperinsulinemic hypoglycemia	None
Abnormality of the renin-aldosterone axis	None
Abnormality of renin-angiotensin system	None
Microprolactinoma	None
Abnormality of the thymus	None
Thymic hypoplasia	None
Ectopic thyroid gland	None
Abnormal thryoid location	None
Aberrant thyroid	None
Ectopic thyroid	None
Aberrant thyroid gland	None
Heteropic thyroid gland	None
Abnormality of the hypothalamus-pituitary axis	None
Menometrorrhagia	None
Thymus hypoplasia	None
Hypoplasia of the thymus	None
Small thymus	None
Abnormality of the parathyroid morphology	None
Paradoxical increased cortisol secretion on dexamethasone suppression test	None
Prolactin deficiency	None
Reduced circulating prolactin concentration	None
Lack of gonadotropin-releasing hormone pulsatility	None
Absence of GnRH pulsatility	None
Thyroid adenoma	None
Tertiary hypothyroidism	None
Hypothalamic hypothyroidism	None
Increased circulating luteinizing hormone level	None
Elevated luteinizing hormone	None
Elevated circulating luteinizing hormone level	None
Elevated LH level	None
Premature thelarche	None
Premature breast development	None
Precocious puberty in females	None
Metrorrhagia	None
Abnormal uterus bleeding	None
Intermenstrual bleeding	None
Menstrual spotting	None
Chemodectoma	None
Chemodectomas	None
Puberty and gonadal disorders	None
Thyroid C cell hyperplasia	None
Posterior pituitary hypoplasia	None
Neurohypophysis hypoplasia	None
Parathyroid carcinoma	None
Parathyroid Cancer	None
Secondary hyperparathyroidism	None
Macroprolactinoma	None
Mineralocorticoid excess	None
Increased aldosterone	None
Elevated plasma aldosterone	None
Hyperaldosteronism	None
Increased aldosterone production	None
Premature adrenarche	None
Insulinoma	None
Pancreatic insulinoma	None
Light or infrequent menstrual periods	None
Oligomenorrhea	None
Primary hypogonadism	None
Hypergonadotropic hypogonadism	None
Hypergonadotrophic hypogonadism	None
Glomus jugulare tumors	None
Glomus jugular tumor	None
Glomus jugulare tumor	None
Decreased circulating osteocalcin level	None
Decreased pineal volume	None
Beta-cell dysfunction	None
Decreased serum estriol	None
Decreased circulating dehydroepiandrosterone-sulfate level	None
No secondary sexual characteristics at puberty	None
Absence of secondary sex characteristics	None
Pituitary calcification	None
Decreased glucagon level	None
Hashimoto's thyroiditis	None
Chronic lymphocytic thyroiditis	None
Hashimoto thyroiditis	None
Adrenal gland hypoplasia	None
Hypoplastic adrenal glands	None
Adrenal hypoplasia	None
Small adrenal glands	None
Abnormal circulating 18-hydroxycorticosterone level	None
Underactive thyroid gland from birth	None
Hypothyroidism, congenital	None
Congenital hypothyroidism	None
Increased radioactive iodine uptake	None
Goiter	None
Thyroid goiter	None
Enlarged thyroid gland in neck	None
Goitre	None
Pituitary hypothyroidism	None
Secondary hypothyroidism	None
Thyroid stimulating hormone deficiency	None
Thyrotropin deficiency	None
TSH deficient hypothyroidism	None
Low thyroid gland function due to abnormal pituitary gland	None
Fasting hyperinsulinemia	None
High blood insulin levels while fasting	None
Abnormality of adrenal physiology	None
High TSH	None
Increased thyrotropin level	None
TSH excess	None
Thyroid-stimulating hormone excess	None
Elevated thyroid stimulating hormone	None
Elevated thyroid stimulating hormone levels	None
Increased thyroid-stimulating hormone	None
Increased thyroid-stimulating hormone level	None
Increased serum thyroid-stimulating hormone	None
Parathyroid disease	None
Abnormality of the parathyroid gland	None
Hypermenorrhea	None
Abnormally heavy bleeding during menstruation	None
Menorrhagia	None
Parathyroid adenoma	None
Parathyroid adenomas	None
Increased circulating procalcitonin level	None
Pineal cyst	None
Diabetic ketosis	None
Diabetic ketoacidosis	None
Decreased activity of gonads	None
Hypogonadism	None
Pulmonary paraglioma	None
Central diabetes insipidus	None
Neurohypophyseal diabetes insipidus	None
Ectopic anterior pituitary gland	None
Decreased adiponectin level	None
Elevated circulating follicle stimulating hormone level	None
Increased circulating follicle stimulating hormone level	None
Elevated plasma follicle stimulating hormone	None
Elevated follicle stimulating hormone	None
Elevated FSH level	None
Elevated follicle-stimulating hormone	None
gestational diabetes	None
Maternal diabetes	None
maternal hyperglycemia	None
Increased plasma ACTH	None
High blood corticotropin levels	None
Increased circulating ACTH level	None
Secretory adrenal adenoma	None
Secretory adrenocortical adenoma	None
Abnormality of pineal morphology	None
Increased pineal volume	None
Thymus hyperplasia	None
Thymic hyperplasia	None
Enlarged thymus	None
Neoplasm of the adenohypophysis	None
Neoplasm of the anterior pituitary	None
Neoplasm of the pars anterior	None
Secondary adrenal insufficiency	None
Central adrenal insufficiency	None
Androgen insufficiency	None
Hypoandrogenism	None
Anterior hypopituitarism	None
Reduced pancreatic beta cells	None
Increased serum androstenedione	None
Hypoinsulinemia	None
Increased urinary 11-deoxycorticosterone level	None
Increased serum free T3	None
Increased circulating free T3	None
Increased serum free triiodothyronine	None
Increased serum fT3	None
Increased serum estriol	None
Intestinal carcinoid	None
Adrenocortical insufficiency	None
Addison's disease	None
Primary adrenal insufficiency	None
Addison disease	None
Primary adrenocortical failure	None
Increased circulating cortisol level	None
Cushing syndrome	None
Increased cortisol production	None
Hypercortisolism	None
Pubertal developmental failure in females	None
Medullary thyroid carcinoma	None
Medullary thyroid cancer	None
Overactive thyroid	None
Hyperthyroidism	None
Adrenal calcification	None
Nonmedullary thyroid carcinoma	None
Thyroid cancer, nonmedullary	None
Non-medullary thyroid carcinoma	None
Increased pituitary glycoprotein polypeptide alpha subunit level	None
Increased pituitary glycoprotein alpha subunit level	None
Increased pituitary glycoprotein hormone alpha subunit level	None
Thyroid papillary adenoma	None
Neonatal insulin-dependent diabetes mellitus	None
Posterior pituitary agenesis	None
Neurohypophysis agenesis	None
Congenital goiter	None
Carotid paraganglioma	None
Absent thymus	None
Athymia	None
Absent thymic shadow	None
Lack of thymic shadow	None
Aplasia of the thymus	None
Autoimmune hypoparathyroidism	None
Abnormal circulating free triiodotyronine concentration	None
Abnormal circulating free T3 concentration	None
Abnormal response to endocrine stimulation test	None
Inguinal hernia	None
Sagging uterus	None
Uterine prolapse	None
Increased volume of facial adipose tissue	None
Facial fat hypertrophy	None
Facial fat hyperplasia	None
Increased facial adipose tissue	None
Hyperplasia of facial adipose tissue	None
Increased amount of facial fat	None
Hypertrophy of facial adipose tissue	None
Increased amount of facial adipose tissue	None
Abnormality of facial fat	None
Malformation of facial adipose tissue	None
Deformity of facial adipose tissue	None
Abnormality of facial adipose tissue	None
Decreased amount of facial fat	None
Decreased amount of facial adipose tissue	None
Loss of facial adipose tissue	None
Decreased volume of facial adipose tissue	None
Loss of facial subcutaneous adipose tissue	None
Loss of subcutaneous adipose tissue from face	None
Loss of facial fat	None
Increased fat around the neck	None
Increased adipose tissue around the neck	None
Corneal scarring	None
Enamel abnormalities	None
Abnormality of dental enamel	None
Enamel abnormality	None
Abnormal tooth enamel	None
Malformation of dental enamel	None
Defective tooth enamel	None
Malformation of tooth enamel	None
Dystrophic tooth enamel	None
Grayish enamel	None
Gray colored tooth enamel	None
Gray tooth shade	None
Greyish enamel	None
Teeth with thin dentin and large pulp chambers	None
Teeth with dentinal dysplasia	None
Shell teeth	None
Teeth with type iii dentinogenesis imperfecta	None
Dentinogenesis imperfecta	None
Amelogenesis imperfecta	None
Diaphragmatic hernia	None
Congenital diaphragmatic hernia	None
Chondrocalcinosis	None
Calcium deposits in joints	None
Atypical scarring	None
Atypical scarring of skin	None
Abnormality of subcutaneous fat tissue	None
Abnormality of fatty tissue below the skin	None
Lipomas	None
Lipomatosis	None
Multiple lipomas	None
Multiple fatty lumps	None
Subcutaneous lipoma	None
Cigarette-paper scars	None
Cigarette paper scarring	None
'cigarette paper scarring'	None
Thin, atrophic scars	None
Sunken or indented skin due to damage	None
Atrophic scars	None
Camptodactyly of 2nd-5th fingers	None
Interphalangeal joint flexion contractures	None
Interphalangeal joint contracture of finger	None
Wrist flexion deformity	None
Wrist contracture	None
Wrist flexion contracture	None
Flexion contracture	None
Flexion contractures	None
Contractures	None
Flexion contractures of joints	None
Joint contractures	None
Flexed joint that cannot be straightened	None
Joint contracture	None
Contracture	None
Umbilical hernia	None
Umbilical hernias	None
Omphalocele	None
Omphalocoele	None
Achilles tendon contractures	None
Tight achilles tendon	None
Achilles tendon contracture	None
Contractures of the Achilles tendon	None
Shortening of the achilles tendon	None
Camptodactyly of feet	None
Camptodactyly of toe	None
Hiatus hernia	None
Stomach hernia	None
Hiatal hernia	None
congenital contractures	None
Congenital joint contractures	None
Congenital contracture	None
Arthrogryposis	None
Arthrogryposis, congenital	None
Arthrogryposis multiplex	None
Arthrogryposis multiplex congenita	None
Multiple congenital contractures	None
Multiple joint contractures	None
Ventral hernia	None
Fixed flexion at the elbow joint	None
Contractures of the elbows	None
Contractures of elbows	None
Elbow contracture	None
Elbow contractures	None
Contracture of elbow joint	None
Elbow flexion contracture	None
Elbow flexion contractures	None
Elbow flexion deformity	None
Shoulder flexion contracture	None
Hamstring contractures	None
Limb joint contracture	None
Limb contractures	None
Flexion contractures of hips	None
Hip contractures	None
Hip flexion contractures	None
Flexion contracture of hips	None
Hip contracture	None
Abnormality of connective tissue	None
Loss of fat tissue below the skin in limbs	None
Loss of subcutaneous adipose tissue in limbs	None
Loss of subcutaneous adipose tissue from extremities	None
Minimal subcutaneous fat	None
Minimal fat below the skin	None
Reduced subcutaneous adipose tissue	None
Reduced subcutaneous fat	None
Decreased subcutaneous adipose tissue	None
Scanty adipose tissue	None
Reduced fat tissue below the skin	None
Decreased subcutaneous fat	None
Reduced intrathoracic adipose tissue	None
Herniated abdominal wall	None
Hernia of the abdominal wall	None
Hair loss on scalp from scarring condition	None
Cicatricial alopecia	None
Scarring alopecia of scalp	None
Inability to touch chin to chest	None
Contracture of post-cervical muscles	None
Decreased cervical spine flexion due to contractures of posterior cervical muscles	None
Incisional hernia	None
Recurrent abdominal hernia	None
Polyarticular chondrocalcinosis	None
Lack of facial subcutaneous fat	None
Lack of facial fat below the skin	None
Arthrogryposis-like hand anomaly	None
Bilateral camptodactyly	None
