Abnormality of taste sensation	HP:0000223
Post-vaccination rubella	None
Immunoglobulin IgG2 deficiency	None
Decreased circulating IgG2 level	None
Reduced IgG2 levels	None
Peripheral neutropenia	None
Low blood neutrophil count	None
Low neutrophil count	None
Neutropenia	None
Elevated CD4-positive, CD25-positive regulatory T cell count	None
Follicular pustule	None
Folliculitis	None
Decreased proportion of effector memory CD8-positive, alpha-beta T cells	None
Allergy to plant products	None
IgE-mediated plant product allergy	None
Plant product allergy	None
Immunoglobulin E-mediated plant product allergy	None
Decreased glucose-6-phosphate dehydrogenase level in red blood cells	None
Decreased G6PD level in red blood cells	None
Decreased G6PD level in RBCs	None
Vitamin B3 deficiency	None
Bicarbonate-wasting renal tubular acidosis	None
HCO3-wasting renal tubular acidosis	None
Renal bicarbonate wasting	None
Dyslipidemia	None
Abnormal circulating lipid concentration	None
Trimethylaminuria	None
High urine trimethylamine levels	None
Medium chain dicarboxylic aciduria	None
Impairment of galactose metabolism	None
Impaired galactose metabolism	None
Decreased uridine diphosphate glucose-4-epimerase activity in red blood cells	None
Decreased UDP-glucose 4-epimerase activity activity in red blood cells	None
Decreased UDP-glucose 4-epimerase activity activity in RBCs	None
Cardiac amyloidosis	None
Amyloid cardiomyopathy	None
High serum calcifediol	None
High serum 25-hydroxycholecalciferol	None
High serum calcidiol	None
Isoleucinuria	None
Hyperisoleucinuria	None
Hyperglutamatemia	None
High blood glutamate levels	None
Increased blood glutamate concentration	None
Abnormal transferrin saturation	None
Increased circulating CK MB isoform	None
Increased circulating creatine kinase MB isoform	None
Galactose intolerance	None
Abnormality of circulating beta2-m level	None
Abnormality of circulating beta2m level	None
Abnormality of circulating beta-2-microglobulin level	None
Abnormality of circulating beta2 microglobulin level	None
Abnormality of circulating B2M level	None
Malignant hyperthermia	None
Malignant hyperthermia with anesthesia	None
Body fails to respond to insulin	None
Insulin resistance	None
Abnormal retinol-binding protein level	None
High levels of ketone bodies	None
Hyperketosis	None
Ketosis	None
Foamy urine	None
Frothy urine	None
Hyperglutaminemia	None
High plasma glutamine	None
Positive gastric fluid barbiturate test	None
Positive urine amphetamine test	None
Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Oroticaciduria	None
Increased urinary orotic acid concentration	None
High urine orotic acid levels	None
Orotic aciduria	None
Unexplained fevers	None
Abnormal angiostatin level	None
Positive blood arsenic test	None
Decreased plasma GH-binding protein	None
Reduced growth-hormone binding protein level	None
Decreased complex N-glycan level	None
Increased truncated complex N-glycans on glycoproteins	None
Vitamin B12 deficiency	None
Dehydration	None
Abnormal cell proliferation	None
Increased circulating LDL level	None
Increased circulating low-density lipoprotein levels	None
Increased beta-lipoproteins	None
Increased circulating low-density lipoprotein cholesterol	None
Increased LDLc concentration	None
Increased LDL cholesterol concentration	None
Increased plasma LDL levels	None
Hyperbetalipoproteinemia	None
Increased LDL cholesterol	None
Abnormality of iron homeostasis	None
Increased urine bicarbonate concentration	None
Bicarbonaturia	None
Increased urine HCO3 concentration	None
Increased urinary glycerol	None
Swelling caused by excess lymph fluid under skin	None
Lymphedema	None
Lymphoedema	None
Lymphatic obstruction	None
Onset of lymphedema around puberty	None
Decreased CD69 upregulation upon TCR activation	None
High urine uric acid level	None
Hyperuricosuria	None
GM1-ganglioside accumulation	None
Increased urinary homovanillic acid	None
Elevated urinary homovanillic acid	None
Acid-labile subunit deficiency	None
Reduced insulin like growth factor binding protein acid labile subunit level	None
Decreased levels of acid labile subunit	None
Defective B cell activation	None
Abnormal HDL3c concentration	None
Abnormal circulating acetylcarnitine concentration	None
Abnormal acetylcarnitine profile	None
Calcium oxalate crystalluria	None
Elevated ApoB level	None
Elevated apolipoprotein B level	None
Calcium phosphate crystalluria	None
Saggy upper eyelid skin	None
Blepharochalasis	None
Abnormality of fluid regulation	None
Fluid imbalance	None
Increased anti-insect IgE antibody level	None
High urine occult blood	None
Hematuria	None
Blood in urine	None
Abnormal alpha-aminobutyrate levels in cerebrospinal fluid	None
Abnormal CSF alpha-aminobutyrate concentration	None
Abnormal T cell proliferation	None
Decreased CSF glutamate concentration	None
Low glutamic acid levels in cerebrospinal fluid	None
Abnormal circulating proline concentration	None
Transient hyperphenylalaninemia	None
Abnormal circulating serine concentration	None
4-Hydroxyphenylacetic aciduria	None
Abnormality of cerebrosidase metabolism	None
Decreased low-density lipoprotein particle size	None
High urine neutrophil count	None
Pyuria	None
Leukocyturia	None
Decreased UDP-glucose 4-epimerase activity activity in plasma	None
Decreased uridine diphosphate glucose-4-epimerase activity in plasma	None
High blood aspartic acid levels	None
Increased level of circulating aspartic acid	None
Increased blood aspartic acid	None
Abnormal circulating sulfur amino acid concentration	None
Abnormality of sulfur-containing amino acids	None
Abnormal mitochondrial shape	None
Respiratory complex IV deficiency	None
Decreased activity of mitochondrial complex IV	None
Temperature instability	None
Body temperature instability	None
Elevated serum HCO3 concentration	None
Elevated serum bicarbonate concentration	None
Abnormal glucose tolerance	None
Glucose intolerance	None
Transient decreased circulating total IgG	None
Elevated plasma branched chain amino acids	None
Carnitine levels abnormal	None
Abnormal circulating carnitine concentration	None
Increased circulating free fatty acid level	None
Elevated circulating acetone	None
Increased level of propane-1,2-diol in blood	None
Increased level of propylene glycol in blood	None
Low cholesterol esterification rate	None
Beta 2-microglobulinuria	None
Chondroitin sulfate excretion in urine	None
Intolerance to protein	None
Abnormality of aromatic amino acid family metabolism	None
Abnormal circulating aromatic amino acid concentration	None
Glutaminuria	None
Hyperglutaminuria	None
Elevated urinary norepinephrine	None
High lysine levels in cerebrospinal fluid	None
Increased CSF lysine concentration	None
High histidine levels in cerebrospinal fluid	None
Increased CSF histidine concentration	None
Porphyrinuria	None
Elevated circulating glycolate concentration	None
Reduced serum copper	None
Decreased circulating copper concentration	None
Copper deficiency	None
Hypocupremia	None
Abnormal nucleoside levels	None
Abnormal circulating nucleobase concentration	None
Hypophosphatemia	None
Low blood phosphate level	None
Hypophosphataemia	None
Abnormal lactate dehydrogenase activity	None
Increased circulating IgG3 level	None
An elevated circulating concentration of folic acid, which is also known as vitamin B9.	None
Increased blood folate concentration	None
Deficient excision of UV-induced pyrimidine dimers in DNA	None
Mucopolysacchariduria	None
Partial absence of specific antibody response to meningococcus vaccine	None
Abnormal aspartate-family amino acid levels in cerebrospinal fluid	None
Abnormal CSF aspartate family amino acid concentration	None
Low serum iron	None
Decreased serum iron	None
Increased urinary disaccharide excretion	None
Increased lactate dehydrogenase activity	None
Abnormal CSF serine concentration	None
Abnormal serine levels in cerebrospinal fluid	None
Periorbital swelling	None
Puffy eyes	None
Swelling around the eyes	None
Periorbital cellulitis	None
Puffiness around the eyes	None
Periorbital edema	None
Hydroxyprolinuria	None
Elevated urinary hydroxyproline	None
High blood phosphate levels	None
Hyperphosphatemia	None
Decreased circulating very-low-density lipoprotein levels	None
Decreased VLDL cholesterol concentration	None
Stress/infection-induced lactic acidosis	None
Hypophosphaturia	None
Low urine phosphate levels	None
Drug resistance	None
Refractory drug response	None
Abnormal urine phosphate concentration	None
Abnormal CSF pyruvate family amino acid concentration	None
Abnormal pyruvate-family amino acid levels in cerebrospinal fluid	None
Abnormality of threonine metabolism	None
Abnormal circulating threonine concentration	None
Monoclonal elevation of circulating IgE	None
Type 2 diabetes	None
Noninsulin-dependent diabetes	None
Type II diabetes mellitus	None
Diabetes mellitus, noninsulin-dependent	None
Diabetes mellitus Type II	None
Noninsulin-dependent diabetes mellitus	None
Noninsulin dependent diabetes mellitus	None
Diabetes mellitus type 2	None
Type II diabetes	None
Non-insulin dependent diabetes	None
NIDDM	None
NIDDM diabetes mellitus	None
Leg edema	None
Edema of the lower limbs	None
Bipedal edema	None
Peripheral edema of lower extremity	None
Pedal edema	None
Fluid accumulation in lower limbs	None
Lower leg swelling	None
Neonatal hypoglycemia	None
Low blood sugar in newborn	None
High plasma sarcosine levels	None
Hypersarcosinemia	None
Decreased fucosylation of N-linked protein glycosylation	None
D-2-hydroxyglutaric aciduria	None
Amyloidosis	None
Amyloid disease	None
Dihydropyrimidine dehydrogenase deficiency	None
Reduced dihydropyrimidine dehydrogenase activity	None
Maternal fever during labor	None
Intrapartum fever	None
Elevated urinary 3-hydroxybutyric acid	None
Pyothorax	None
Pleural empyema	None
IgM heavy chain paraproteinemia	None
Decreased sialylation of O-linked protein glycosylation	None
Recurrent infantile hypoglycemia	None
Episodic infantile hypoglycemia	None
Recurrent low blood sugar in infant	None
High urine oxalate levels	None
Increased level of oxalate in urine	None
Hyperoxaluria	None
Transient aminoaciduria	None
Increased hepatitis A virus antibody level	None
Asymptomatic hyperammonemia	None
Hyperammonemia, asymptomatic	None
Moderate proteinuria	None
Increased serum bile acid concentration	None
Elevated prostate-specific antigen level	None
Renal magnesium wasting	None
Abnormality of glycolipid metabolism	None
High blood arginine levels	None
Hyperargininemia	None
Increased blood arginine concentration	None
High urine tryptophan levels	None
Tryptophanuria	None
Neonatal unconjugated hyperbilirubinemia	None
Abnormality of chromosome stability	None
Intraaxonal accumulation of curvilinear autofluorescent lipopigment storage material	None
Intraaxonal accumulation of curvilinear profiles	None
Elevated 8(9)-cholestenol	None
Positive norpropoxyphene blood test	None
Serum protein abnormality	None
Abnormality of circulating protein level	None
Blood protein disease	None
Abnormal circulating protein level	None
Decreased urinary 1-methylhistidine	None
Hyperpepsinogenemia I	None
Increased erythrocyte protoporphyrin concentration	None
Decreased CSF threonine concentration	None
Low threonine levels in the cerebrospinal fluid	None
Hyposerinemia	None
Low blood serine levels	None
Abnormality of transition element cation homeostasis	None
Abnormal blood transition element cation concentration	None
Exudative pleural effusion	None
Increased T-antigen concentration	None
Increased core 1 O-glycan level	None
Abnormal CSF glycine concentration	None
Abnormal glycine levels in cerebrospinal fluid.	None
Transient neonatal diabetes mellitus	None
Elevated aldolase level	None
Elevated urinary aminoisobutyric acid	None
Increased CPK	None
Increased creatine kinase	None
Elevated serum creatine kinase	None
Increased serum creatine phosphokinase	None
Increased serum creatine kinase	None
Elevated serum creatine phosphokinase	None
Elevated serum CPK	None
Elevated creatine kinase	None
High serum creatine kinase	None
Increased creatine phosphokinase	None
Elevated blood creatine phosphokinase	None
Elevated circulating creatine phosphokinase	None
Increased serum CK	None
Increased HDL3c concentration	None
Increased anti-parasite IgE antibody level	None
Low placental ALP	None
Low placental alkaline phosphatase	None
Protein in urine	None
Proteinuria	None
High urine protein levels	None
Elevated intracellular cystine	None
Hyperhistidinemia	None
Histidinemia	None
High blood histidine level	None
Kappa Bence Jones proteinuria	None
gestational diabetes	None
Maternal diabetes	None
maternal hyperglycemia	None
Ornithinuria	None
Abnormal circulating fatty-acid concentration	None
Fatty acids abnormal	None
Abnormality of fatty acid metabolism	None
Low alkaline phosphatase	None
Decreased serum alkaline phosphatase	None
Low ALP	None
Alkalemia	None
A reduction below the normal concentration of manganese in the blood.	None
Hypomanganesemia	None
Decreased ADOCBL	None
Decreased adenosylcobalamin	None
Elevated urinary N,N-dimethylglycine level	None
Reduced lactate dehydrogenase B level	None
High blood ornithine levels	None
Hyperornithinemia	None
Abnormal urinary 3-methylhistidine concentration	None
Alkalosis	None
Beta-galactosidase deficiency in fibroblasts and white blood cells	None
Decreased beta-galactosidase activity	None
Beta-galactosidase-1 deficiency	None
Decreased beta galactosidase activity	None
Increased cotinine level	None
Severly high blood protein levels	None
Heavy proteinuria	None
Monoclonal elevation of IgG	None
2-hydroxyglutarate aciduria	None
Hypoglycinemia	None
Low blood glycine levels	None
Abnormal urine carboxylic acid level	None
Abnormal methionine levels in cerebrospinal fluid	None
Abnormal CSF methionine concentration	None
White blood cell casts	None
Leukocyte cylindruria	None
Increased CSF glutamate concentration	None
High glutamic acid levels in cerebrospinal fluid	None
Episodic ammonia intoxication	None
Abnormal HDL2b concentration	None
Increased urinary taurine	None
Abnormality of phosphate homeostasis	None
Abnormal blood phosphate concentration	None
Abnormal serum anion gap	None
Positive urine cannabinoid test	None
Postive urine pot test	None
Positive urine marijuana test	None
Impaired activated T cell proliferation	None
Impaired cellular adaptive immune response	None
Reduced antigen-specific T cell proliferation	None
Antigen-specific T cell proliferation defect	None
Impaired Ag-specific T cell proliferation	None
Abnormal HDL3a concentration	None
Nonketotic hyperglycinemia	None
Reduced B cell function	None
Abnormality of B cell physiology	None
Alpha-aminobutyric aciduria	None
Specific antibody deficiency	None
Decreased circulating level of specific antibody	None
Decreased specific antibody in blood	None
Prolonged bleeding following procedure	None
Folate-unresponsive megaloblastic anemia	None
Microangiopathic hemolytic anemia	None
Prolonged bleeding after minor trauma	None
Excessive bleeding after minor trauma	None
Persistent bleeding after trauma	None
Frequent bleeding with trauma	None
Chronic neutropenia in myeloid maturation arrest in bone marrow	None
Bruise easily	None
Bruisability	None
Bruising susceptibility	None
Easy bruising	None
Easy bruisability	None
Mastocytosis	None
Decreased hemoglobin	None
Anemia	None
Anaemia	None
Low number of red blood cells or hemoglobin	None
Foveal hemorrhage	None
Foveal haemorrhage	None
Impaired neutrophil chemotaxis	None
Pulmonary lymphoma	None
Coagulopathy	None
Abnormality of the coagulation cascade	None
Reduced hematocrit	None
Reduced Hct	None
Low hematocrit	None
Abnormal alpha-beta T cell morphology	None
Impaired thrombin-induced platelet aggregation	None
Granulocytosis	None
Abnormal myeloid cell morphology	None
Atypical elliptocytosis	None
Absent neutrophil lactoferrin	None
Cerebral thrombosis	None
Cerebral vein thrombosis	None
Blood clot in cerebral vein	None
Cerebral venous thrombosis	None
Increased circulating myelocyte count	None
Abnormal proportion of effector memory CD8-positive, alpha-beta T cells	None
Transient neutropenia	None
Increased red cell sickling tendency	None
Increased sickling of erythrocytes	None
Increased sickling of red cells	None
Left shift	None
Increased circulating band form neutrophils	None
Increased circulating band cell count	None
Monocytopenia	None
Low blood monocyte number	None
Folate-responsive megaloblastic anemia	None
Megaloblastic bone marrow	None
Acute megakaryocytic leukemia	None
AMegL	None
Elevated proportion of CD4+CD25+ regulatory T cells	None
Decreased level of thrombomodulin	None
BDCA-3	None
Abnormal T cell subset distribution	None
Decreased proportion of central memory CD4-positive, alpha-beta T cells	None
RBC keratocytosis	None
Red blood cell keratocytosis	None
Distorted red blood cells resembling keratocytes	None
Recurrent bleeding into lungs	None
Recurrent pulmonary hemorrhage	None
Recurrent intrapulmonary hemorrhage	None
Diffuse alveolar haemorrhage	None
Diffuse alveolar hemorrhage	None
Increased hemoglobin concentration	None
Increased Hb concentration	None
Decreased proportion of effector memory CD8-positive, alpha-beta T cells	None
Sickled erythrocytes	None
Abnormal factor VIII activity	None
Reduced beta/alpha synthesis ratio	None
Hematological neoplasm	None
Blood tumor	None
Abnormal proportion of non-class-switched memory B cells	None
Abnormal granulocytopoietic cell morphology	None
Abnormality of cells of the granulocytic lineage	None
Elevated CD4-positive, CD25-positive regulatory T cell count	None
Absence of alpha granules	None
Gray platelets	None
Grey platelets	None
Neonatal alloimmune thrombocytopenia	None
Absence of mature B cells	None
Impaired epinephrine-induced platelet aggregation	None
Reduced red cell pyruvate kinase activity	None
Reduced erythrocyte pyruvate kinase activity	None
Dacryocytosis	None
Tear-drop shaped erythrocytes	None
Dacryocytes	None
Cyclic neutropenia in myeloid maturation arrest in bone marrow	None
Bone marrow hypocellularity	None
Bone marrow failure	None
Bone marrow hypoplasia	None
Hypoplastic bone marrow	None
Spontaneous hematomas	None
Decreased INR	None
Decreased PT	None
Decreased prothrombin time	None
Decreased international normalized ratio	None
Abnormal proportion of CD4+ T cells	None
Abnormal proportion of CD4 T cells	None
Reduced factor XIII, subunit B	None
Factor XIII subunit B deficiency	None
Decreased platelet P2Y12 receptor	None
Prolonged partial thromboplastin time	None
Prolonged activated partial thromboplastin time	None
Delayed thromboplastin generation	None
Abnormal partial thromboplastin time	None
Prolonged PTT	None
Partial thromboplastin time prolonged	None
Abnormality of von Willebrand factor	None
Blood spots	None
Purpura	None
Red or purple spots on the skin	None
Increased red cell fragility	None
Increased erythrocyte osmotic fragility	None
Increased red cell osmotic fragility	None
Peripheral thrombosis	None
Peripheral blood clot	None
Abnormal myeloid leukocyte morphology	None
Abnormality of myeloid leukocytes	None
Decreased mean corpuscular Hb concentration	None
Decreased mean corpuscular hemoglobin concentration	None
Decreased MCHC	None
Decreased mean corpuscular haemoglobin	None
Decreased MCH	None
Reduced antithrombin antigen	None
Lymphocytosis	None
High lymphocyte count	None
Increased proportion of CD25+ mast cells	None
Intermittent thrombocytopenia	None
Increased proportion of plasmablasts	None
Abnormal leukocyte count	None
Abnormal white blood cell count	None
Large platelets	None
Increased mean platelet volume	None
Abnormality of mastocytes	None
Abnormality of mast cells	None
Abnormal mast cell morphology	None
Hemoglobin H	None
HbH hemoglobin	None
Abnormal proportion of CD8+ T cells	None
Abnormal proportion of CD8 T cells	None
Impaired collagen-related peptide-induced platelet aggregation	None
Abnormality of reticulocytes	None
Abnormal reticulocyte morphology	None
Reduced alpha/beta synthesis ratio	None
Hypersegmentation of neutrophil nuclei in peripheral blood	None
Hypersegmentation of neutrophil nuclei	None
Hypermature neutrophils	None
Absence of Lutheran antigen on erythrocytes	None
Reduced NK cell number	None
Reduced natural killer cell count	None
Reduced natural killer cell number	None
Erythroid dysplasia	None
T-cell lymphoma	None
T cell lymphoma	None
Hypersideremic anemia	None
Sideroblastic anemia	None
Acute lymphoblastic leukemia	None
Acute lymphoid leukemia	None
Acute lymphatic leukemia	None
Acute lymphocytic leukemia	None
CD4+ T-cell lymphopenia	None
Decreased proportion of CD4-positive T cells	None
Abnormality of CD4+ T cells	None
CD4 T cell lymphopenia	None
erythrocyte stomatocytes	None
Stomatocytosis	None
Red cell stomatocytosis	None
Abnormal alpha granule content	None
Hodgkin disease	None
Hodgkin's lymphoma	None
Hodgkin lymphoma	None
Abnormal proportion of marginal zone B cells	None
Impaired arachidonic acid-induced platelet aggregation	None
Reduced alpha-2-antiplasmin activity	None
Normochromic microcytic anemia	None
Decreased platelet glycoprotein VI	None
Abnormal platelet phosphatidylserine exposure	None
Extramedullary erythropoiesis	None
Extramedullary hematopoiesis	None
Drug-sensitive hemolytic anemia	None
Reduction of neutrophil motility	None
Myeloid/lymphoid leukemia	None
Biphenotypic acute leukaemia	None
Acute biphenotypic leukemia	None
Reduced level of platelet glycoprotein IIb/IIIa complex	None
Glanzmann thrombasthenia	None
Decreased platelet glycoprotein IIb-IIIa	None
Cephalohaematoma	None
Cephalohematoma	None
Heinz bodies	None
Reduced factor VIII activity	None
Factor VIII deficiency	None
Decreased proportion of effector memory CD4-positive, alpha-beta T cells	None
Reduced proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	None
Increased platelet count	None
Thrombocythemia	None
Thrombocytosis	None
Increased number of platelets in blood	None
Thrombocythaemia	None
Impaired clot retraction	None
Abnormal platelet granule secretion	None
Abnormal neutrophil count	None
Abnormal neutrophil cell number	None
Factor V deficiency	None
Reduced factor V activity	None
Reduced coagulation factor V activity	None
Abnormal dense tubular system	None
Heparin-induced thrombocytopenia	None
Bleeding gums	None
Gingival hemorrhage	None
Gingival bleeding	None
Gingivorrhagia	None
Increased proportion of CD4 T cells	None
Abnormality of multiple cell lineages in the bone marrow	None
Absence of large von Willibrand factor multimers	None
Amegakaryocytic thrombocytopenia	None
Gastrointestinal bleeding	None
Gastrointestinal hemorrhage	None
GI hemorrhage	None
Absence of CD4+CD25+ T regulatory cells	None
Absence of CD4+CD25+ Tregs	None
Absence of CD4-positive, CD25-positive regulatory T cells	None
Single lineage myelodysplasia	None
Increased Hct	None
Increased hematocrit	None
Reduced plasminogen activator inhibitor 1 antigen	None
Macrothrombocytopenia	None
Macrothrombozytopenia	None
Multiple lineage myelodysplasia	None
Muscle haemorrhage	None
Abnormal morphology of erythroid progenitor cell	None
Total absence von Willebrand factor multimers	None
Increased reticulocyte count	None
Increased immature red blood cells	None
Increased number of immature red blood cells	None
Increased reticulocytes	None
Reticulocytosis	None
Impaired platelet aggregation	None
Defective platelet aggregation	None
Deficient platelet aggregation	None
Platelet aggregation defect	None
Pyridoxine-responsive sideroblastic anemia	None
Abnormality of neutrophil physiology	None
Compensated hemolytic anemia	None
Hepatic mastocytosis	None
Thrombophilia	None
Hypercoagulability	None
Blood hyperviscosity	None
Abnormal number of erythroid precursors	None
Increased proportion of CD19+CD27+IgD- cells	None
Increased proportion of class-switched memory B cells	None
Unequal size of red blood cells	None
Anisocytosis	None
Abnormality of basophils	None
Abnormal basophil morphology	None
Antepartum hemorrhage	None
Prepartum haemorrhage	None
Antepartum haemorrhage	None
Prepartum hemorrhage	None
Abnormal platelet lysosome secretion	None
Increased proportion of exhausted T cells	None
Abnormal platelet ATP dense granule secretion	None
Prolonged bleeding time	None
Increased bleeding time	None
Hyperfibrinolysis	None
Episodic eosinophilia	None
Impaired neutrophil killing of staphylococci	None
Increased RIPA	None
Cold-induced hemolysis	None
Abnormal lymphocytes	None
Abnormality of cells of the lymphoid lineage	None
Abnormal lymphocyte morphology	None
Reduced red cell adenosine deaminase activity	None
Oval macrocytosis	None
Abnormal von Willebrand factor multimer distribution	None
AML-M5	None
Acute monocytic leukemia	None
AMoL	None
Acute monoblastic leukemia	None
Decreased proportion of plasmablasts	None
Intraretinal hemorrhage	None
Abnormal dense granule content	None
Increased proportion of effector memory CD4-positive, alpha-beta T cells	None
Abnormal number of granulocyte precursors	None
Abnormal proerythroblast morphology	None
Abnormal thrombosis	None
Abnormal blood clot	None
Decreased eosinophil count	None
Increased factor VIII activity	None
Abnormal proportion of double-negative alpha-beta regulatory T cell	None
Abnormal double-negative alpha-beta regulatory T cell distribution	None
Abnormal CD4-negative, CD8-negative, alpha-beta regulatory T cell distribution	None
Abnormal DN Treg distribution	None
Abnormal Double negative Treg distribution	None
Decreased proportion of marginal zone B cells	None
Abnormality of fibrinolysis	None
Abnormality of the fibrinolytic system	None
Decreased hemoglobin concentration	None
Decreased Hb concentration	None
Imbalanced Hb synthesis	None
Imbalanced hemoglobin synthesis	None
Thromboembolic stroke	None
Abnormal proportion of CD19+CD27+IgD- cells	None
Abnormal proportion of class-switched memory B cells	None
Increased proportion of central memory CD8-positive, alpha-beta T cells	None
Decreased von willebrand factor activity	None
Reduced von Willebrand factor activity	None
Thromboembolic disease	None
Thromboembolic events	None
Blood clot in blood vessel	None
Thromboembolism	None
Embolism and thrombosis	None
von Willebrand Disease Type II Normandy	None
Impaired binding of factor VIII to VWF	None
Abnormality of cells of the erythroid lineage	None
Abnormal erythroid lineage cell morphology	None
Anisopoikilocytosis	None
Increased circulating metamyelocyte count	None
Transient myeloproliferative disorder	None
Transient leukemia of Down syndrome	None
TMD	None
Transient myeloproliferative syndrome	None
Abnormality of granulocytes	None
Abnormal granulocyte morphology	None
Abnormality of neutrophil	None
Compensated disseminated intravascular coagulation	None
Chronic disseminated intravascular coagulation	None
Chronic consumption coagulopathy	None
Abnormal proportion of central memory CD4-positive, alpha-beta T cells	None
Increased multinucleated megakaryocyte count	None
T cell chronic lymphocytic lymphoma/leukemia	None
Abnormal dendritic cell count	None
Agranulocytosis	None
Impaired neutrophil bactericidal activity	None
Rectal bleeding	None
Recurrent rectal bleeding	None
Hematochezia	None
Bilineage myelodysplasia	None
Basophilia	None
Increased basophil count	None
Disseminated intravascular coagulation	None
Acanthocytosis	None
Red cell acanthocytosis	None
Acanthocytes	None
Multiple myeloma	None
Kahler's disease	None
Plasmocytoma	None
Endocrine system disease	None
Abnormality of the endocrine system	None
Isosexual precocious puberty	None
Nonmedullary thyroid carcinoma	None
Thyroid cancer, nonmedullary	None
Non-medullary thyroid carcinoma	None
Abnormal radioactive iodine uptake test result	None
Adrenal gland agenesis	None
Accessory ectopic thyroid tissue	None
Abnormal adiponectin level	None
Abnormal circulating osteocalcin level	None
Increased circulating corticosterone level	None
Decreased glucagon level	None
Decreased circulating follicle stimulating hormone level	None
Premature pubarche	None
Premature pubic hair growth	None
Paradoxical increased cortisol secretion on dexamethasone suppression test	None
Light or infrequent menstrual periods	None
Oligomenorrhea	None
Goiter	None
Thyroid goiter	None
Enlarged thyroid gland in neck	None
Goitre	None
Fasting hypoglycemia	None
Low blood sugar when fasting	None
Abnormal serum DHEA	None
Abnormal serum androstenolone level	None
Abnormal serum dehydroepiandrosterone level	None
Multinodular goiter	None
Early onset of puberty	None
Precocious puberty	None
Early puberty	None
Increased serum 1,25-dihydroxyvitamin D3	None
Increased serum calcitriol	None
Abnormal glucagon level	None
Abnormal calcium-phosphate regulating hormone level	None
Abnormal Ca-PHOS regulating hormone level	None
Abnormal Ca2+ PO4 regulating hormone level	None
Abnormality of the thymus	None
Thymic hypoplasia	None
Thyroid follicular adenoma	None
Increased testosterone	None
High serum testosterone levels	None
High serum testosterone level	None
Increased serum testosterone levels	None
Increased serum testosterone level	None
Thyroid macrofollicular adenoma	None
Abnormal response to endocrine stimulation test	None
Decreased serum estriol	None
Abnormality of adrenal physiology	None
Abnormal serum estriol	None
Adrenal gland dysplasia	None
Dysplastic adrenal glands	None
Adrenal gland dysgenesis	None
Reduced radioactive iodine uptake	None
Abnormal adrenal gland position	None
Ectopic adrenal gland	None
Increased circulating osteocalcin level	None
Increased circulating thyroxine level	None
Congenital adrenal gland hypoplasia	None
Congenital adrenal hypoplasia	None
Mineralocorticoid excess	None
Increased aldosterone	None
Elevated plasma aldosterone	None
Hyperaldosteronism	None
Increased aldosterone production	None
Medullary thyroid carcinoma	None
Medullary thyroid cancer	None
Thyroid-stimulating hormone receptor defect	None
Impaired sensitivity to thyroid stimulating hormone	None
TSHR defect	None
Ectopic parathyroid	None
Primary hyperparathyroidism	None
Abnormal antimullerian hormone level	None
Decreased pituitary glycoprotein hormone alpha subunit level	None
Decreased pituitary glycoprotein alpha subunit level	None
Decreased pituitary glycoprotein polypeptide alpha subunit level	None
Neoplasm of the adrenal medulla	None
Medullar adrenal neoplasia	None
Delayed thelarche	None
Large thyroid	None
Thyroid hyperplasia	None
Adrenocortical abnormality	None
Hypergastrinemia	None
Elevated gastrin in the blood	None
Increased blood gastrin	None
Inactivating thyroid-stimulating hormone receptor defect	None
Inactivating TSHR defect	None
Increased urinary cortisol level	None
High urine cortisol level	None
Decreased serum estradiol	None
Decreased circulating dehydroepiandrosterone level	None
Impaired cortisol response to glucagon stimulation test	None
Type 2 diabetes	None
Noninsulin-dependent diabetes	None
Type II diabetes mellitus	None
Diabetes mellitus, noninsulin-dependent	None
Diabetes mellitus Type II	None
Noninsulin-dependent diabetes mellitus	None
Noninsulin dependent diabetes mellitus	None
Diabetes mellitus type 2	None
Type II diabetes	None
Non-insulin dependent diabetes	None
NIDDM	None
NIDDM diabetes mellitus	None
Follicular thyroid carcinoma	None
Thyroglossal cyst	None
Thyroglossal duct cyst	None
Thymic hypoplasia or aplasia	None
Absent/small thymus	None
Absent/underdeveloped thymus	None
Aplasia/Hypoplasia of the thymus	None
Congenital goiter	None
Increased circulating procalcitonin level	None
Lack of gonadotropin-releasing hormone pulsatility	None
Absence of GnRH pulsatility	None
Parathyroid disease	None
Abnormality of the parathyroid gland	None
Increased urinary 11-deoxytetrahydrocorticosterone level	None
Type I diabetes	None
Type I diabetes mellitus	None
Insulin-dependent diabetes mellitus	None
Diabetes mellitus Type I	None
Type 1 diabetes	None
Juvenile diabetes mellitus	None
Impaired sensitivity to thyroid hormone	None
Resistance to thyroid hormone	None
Elevated serum levels of free thyroid hormone with nonsuppressed TSH	None
Thyroid hormone receptor defect	None
Thyroid hormone resistance	None
End-organ unresponsiveness to thyroid hormone	None
Mild hypothyroidism	None
Subclinical hypothyroidism	None
Compensated hypothyroidism	None
Increased circulating renin level	None
Increased serum renin	None
Elevated blood renin level	None
Increased plasma renin	None
Elevated plasma renin	None
Hyperreninemia	None
Adrenocorticotropic hormone-resistant adrenal insufficiency	None
ACTH receptor defect	None
ACTHR defect	None
Adrenocorticotropin receptor defect	None
